[2020-11-13 18:32:46,956: INFO/ForkPoolWorker-3] core.tasks.every_10_sec[58c0b4bb-7055-493c-93a3-42c9cc220201]: result: 174
[2020-11-13 18:32:46,956: INFO/ForkPoolWorker-4] core.tasks.every_30_sec[8b37fa9b-1fe5-417b-b976-5cc5feeda7a4]: Run every 30sec methods
[2020-11-13 18:32:46,956: INFO/ForkPoolWorker-2] core.tasks.every_10_sec[28467441-2009-4f56-8da9-3757e8a0cfa4]: result: 39
[2020-11-13 18:32:46,957: INFO/ForkPoolWorker-3] Task core.tasks.every_10_sec[58c0b4bb-7055-493c-93a3-42c9cc220201] succeeded in 0.002209300000231451s: 174
[2020-11-13 18:32:46,956: INFO/ForkPoolWorker-1] core.tasks.every_10_sec[1498f674-731d-4dfe-91fc-55b6f3b4ebee]: result: 112
[2020-11-13 18:32:46,957: INFO/ForkPoolWorker-4] core.tasks.every_30_sec[8b37fa9b-1fe5-417b-b976-5cc5feeda7a4]: result: 54
[2020-11-13 18:32:46,957: INFO/ForkPoolWorker-2] Task core.tasks.every_10_sec[28467441-2009-4f56-8da9-3757e8a0cfa4] succeeded in 0.002750600000126724s: 39
[2020-11-13 18:32:46,958: INFO/ForkPoolWorker-1] Task core.tasks.every_10_sec[1498f674-731d-4dfe-91fc-55b6f3b4ebee] succeeded in 0.003227100000003702s: 112
[2020-11-13 18:32:46,958: INFO/ForkPoolWorker-4] Task core.tasks.every_30_sec[8b37fa9b-1fe5-417b-b976-5cc5feeda7a4] succeeded in 0.0025538999998389045s: 54
[2020-11-13 18:32:46,959: INFO/ForkPoolWorker-3] core.tasks.every_10_sec[16677725-7c33-4fef-93a7-654e5b3e924e]: Run every 10sec methods
[2020-11-13 18:32:46,960: INFO/ForkPoolWorker-3] core.tasks.every_10_sec[16677725-7c33-4fef-93a7-654e5b3e924e]: result: 56
[2020-11-13 18:32:46,960: INFO/ForkPoolWorker-1] core.tasks.every_10_sec[019c5a0e-84ce-44c3-b2d0-373f91f094b1]: Run every 10sec methods
[2020-11-13 18:32:46,960: INFO/ForkPoolWorker-2] core.tasks.every_10_sec[266c583b-3cdd-41c4-9282-0b16b67b8af0]: Run every 10sec methods
[2020-11-13 18:32:46,962: INFO/ForkPoolWorker-3] Task core.tasks.every_10_sec[16677725-7c33-4fef-93a7-654e5b3e924e] succeeded in 0.0024686000001565844s: 56
[2020-11-13 18:32:46,961: INFO/ForkPoolWorker-4] core.tasks.every_30_sec[4ea50e3e-d588-4aed-8b3d-69275178275f]: Run every 30sec methods
[2020-11-13 18:32:46,962: INFO/MainProcess] Received task: core.tasks.every_10_sec[00e29ea7-2b97-4d6e-9fd8-10d67fc578bc]  
[2020-11-13 18:32:46,962: INFO/ForkPoolWorker-2] core.tasks.every_10_sec[266c583b-3cdd-41c4-9282-0b16b67b8af0]: result: 155
[2020-11-13 18:32:46,962: INFO/ForkPoolWorker-1] core.tasks.every_10_sec[019c5a0e-84ce-44c3-b2d0-373f91f094b1]: result: 119
[2020-11-13 18:32:46,963: INFO/ForkPoolWorker-4] core.tasks.every_30_sec[4ea50e3e-d588-4aed-8b3d-69275178275f]: result: 70
[2020-11-13 18:32:46,963: INFO/ForkPoolWorker-2] Task core.tasks.every_10_sec[266c583b-3cdd-41c4-9282-0b16b67b8af0] succeeded in 0.0031620999998267507s: 155
[2020-11-13 18:32:46,964: INFO/ForkPoolWorker-1] Task core.tasks.every_10_sec[019c5a0e-84ce-44c3-b2d0-373f91f094b1] succeeded in 0.0035760999999183696s: 119
[2020-11-13 18:32:46,964: INFO/ForkPoolWorker-4] Task core.tasks.every_30_sec[4ea50e3e-d588-4aed-8b3d-69275178275f] succeeded in 0.002969800000300893s: 70
[2020-11-13 18:32:46,964: INFO/MainProcess] Received task: core.tasks.every_10_sec[696e78f2-fed9-46bd-8711-c7d3b1b4dcce]  
[2020-11-13 18:32:46,967: INFO/MainProcess] Received task: core.tasks.every_10_sec[4faaa454-c5d0-4214-8a55-c4ecf2624e65]  
[2020-11-13 18:32:46,969: INFO/MainProcess] Received task: core.tasks.every_30_sec[c261945f-0ad9-4103-97c1-79ad734be7ed]  
[2020-11-13 18:32:46,970: INFO/MainProcess] Received task: core.tasks.every_10_sec[92171c41-0d70-465d-9056-842853c42a4c]  
[2020-11-13 18:32:46,972: INFO/MainProcess] Received task: core.tasks.every_10_sec[0ea844ae-0ed6-4b26-a556-a17472219312]  
[2020-11-13 18:32:46,974: INFO/ForkPoolWorker-1] core.tasks.every_10_sec[57359503-a37a-4a89-88f7-5671fd320f3a]: Run every 10sec methods
[2020-11-13 18:32:46,974: INFO/ForkPoolWorker-3] core.tasks.every_10_sec[378ce316-5a43-4c3a-b289-f2ead68a01e7]: Run every 10sec methods
[2020-11-13 18:32:46,974: INFO/MainProcess] Received task: core.tasks.every_30_sec[a036bc86-725e-416e-b2fe-18c7123ad9b1]  
[2020-11-13 18:32:46,974: INFO/ForkPoolWorker-2] core.tasks.every_10_sec[980a2976-8f5c-4d66-9877-bbc197eef2f0]: Run every 10sec methods
[2020-11-13 18:32:46,974: INFO/ForkPoolWorker-4] core.tasks.every_30_sec[0d0d955d-bae4-475f-ae03-3a32a7cbb4e9]: Run every 30sec methods
[2020-11-13 18:32:46,975: INFO/ForkPoolWorker-1] core.tasks.every_10_sec[57359503-a37a-4a89-88f7-5671fd320f3a]: result: 72
[2020-11-13 18:32:46,975: INFO/ForkPoolWorker-2] core.tasks.every_10_sec[980a2976-8f5c-4d66-9877-bbc197eef2f0]: result: 10
[2020-11-13 18:32:46,975: INFO/ForkPoolWorker-3] core.tasks.every_10_sec[378ce316-5a43-4c3a-b289-f2ead68a01e7]: result: 147
[2020-11-13 18:32:46,976: INFO/ForkPoolWorker-4] core.tasks.every_30_sec[0d0d955d-bae4-475f-ae03-3a32a7cbb4e9]: result: 74
[2020-11-13 18:32:46,976: INFO/ForkPoolWorker-1] Task core.tasks.every_10_sec[57359503-a37a-4a89-88f7-5671fd320f3a] succeeded in 0.0025806999997257662s: 72
[2020-11-13 18:32:46,976: INFO/ForkPoolWorker-2] Task core.tasks.every_10_sec[980a2976-8f5c-4d66-9877-bbc197eef2f0] succeeded in 0.0026618000001690234s: 10
